Name,W,L,Pct,Sets,Aces,Aces_PS,Assists,Assists_PS,Block Solos,Block Assists,Blocks_PS,Digs,Digs_PS,Kills,Errors,Total Attacks,Hitting_Pct,Kills,Kills_PS,Aces,Aces_PS,Digs,Digs_PS
UC Irvine,17,13,0.567,114,132,1.16,1358,11.91,41,411,2.16,1600,14.04,1462,576,3923,0.226,1462,12.82,132,1.16,1600,14.04
UC Riverside,6,24,0.2,110,128,1.16,1100,10,38,210,1.3,1642,14.93,1202,634,3892,0.146,1202,10.93,128,1.16,1642,14.93
UC San Diego,10,21,0.323,121,141,1.17,1455,12.02,71,248,1.61,2007,16.59,1586,731,4621,0.185,1586,13.11,141,1.17,2007,16.59
UC Santa Barbara,21,11,0.656,120,152,1.27,1620,13.5,73,442,2.45,1714,14.28,1733,617,4183,0.267,1733,14.44,152,1.27,1714,14.28
UCF,27,7,0.794,125,217,1.74,1582,12.66,55,582,2.77,1747,13.98,1699,527,4219,0.278,1699,13.59,217,1.74,1747,13.98
UCLA,25,6,0.806,116,170,1.47,1440,12.41,65,408,2.32,1613,13.91,1577,571,3793,0.265,1577,13.59,170,1.47,1613,13.91
UConn,24,11,0.686,129,207,1.6,1528,11.84,60,510,2.44,1941,15.05,1700,617,4550,0.238,1700,13.18,207,1.60,1941,15.05
UIC,20,12,0.625,125,203,1.62,1576,12.61,47,375,1.88,1781,14.25,1691,686,4506,0.223,1691,13.53,203,1.62,1781,14.25
UIW,13,19,0.406,126,146,1.16,1403,11.13,48,434,2.1,1888,14.98,1506,637,4465,0.195,1506,11.95,146,1.16,1888,14.98
ULM,5,27,0.156,109,118,1.08,1013,9.29,37,184,1.18,1572,14.42,1131,602,4027,0.131,1131,10.38,118,1.08,1572,14.42
UMBC,19,12,0.613,113,141,1.25,1279,11.32,30,437,2.2,1887,16.7,1399,637,4067,0.187,1399,12.38,141,1.25,1887,16.70
UMES,12,14,0.462,91,147,1.62,931,10.23,59,297,2.28,1192,13.1,1009,531,2848,0.168,1009,11.09,147,1.62,1192,13.10
UNC Asheville,6,19,0.24,91,102,1.12,900,9.89,34,264,1.82,1331,14.63,960,467,3032,0.163,960,10.55,102,1.12,1331,14.63
UNC Greensboro,23,7,0.767,116,184,1.59,1381,11.91,78,363,2.24,2060,17.76,1524,577,4378,0.216,1524,13.14,184,1.59,2060,17.76
UNCW,4,23,0.148,102,121,1.19,1000,9.8,48,199,1.45,1387,13.6,1095,577,3388,0.153,1095,10.74,121,1.19,1387,13.60
UNI,12,19,0.387,120,156,1.3,1378,11.48,56,379,2.05,1662,13.85,1484,722,4213,0.181,1484,12.37,156,1.30,1662,13.85
UNLV,28,9,0.757,139,217,1.56,1619,11.65,73,552,2.51,1812,13.04,1838,614,4606,0.266,1838,13.22,217,1.56,1812,13.04
